vastuu,lc,lpref,lalts,lLTs,PÄÄTÖS,KOMMENTIT,yc,ypref,yLTs,tyyppi
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L909,paikallishallinto,,,exactMatch,,http://www.yso.fi/onto/yso/p1317,paikallishallinto,julkinen hallinto,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L910,paikallishistoria,,,exactMatch,,http://www.yso.fi/onto/yso/p9783,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L663,paikallishistoriat,pitäjänhistoriat,,exactMatch,,http://www.yso.fi/onto/yso/p1779,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L911,paikalliskokoelmat,kotiseutukokoelmat,,exactMatch,,http://www.yso.fi/onto/yso/p18693,paikalliskokoelmat,kokoelmat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L912,paikalliskulttuuri,,,exactMatch,,http://www.yso.fi/onto/yso/p14778,paikalliskulttuuri,kulttuuri (toimintatavat),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L747,paikannimet,,nimistöntutkimus,exactMatch,,http://www.yso.fi/onto/yso/p10410,paikannimet,erisnimet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L913,paimentolaiset,nomadit,,exactMatch,,http://www.yso.fi/onto/yso/p16015,paimentolaiset,toimintaan liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L915,paimentolaiskulttuurit,,,exactMatch,,http://www.yso.fi/onto/yso/p8896,paimentolaiskulttuurit,kulttuurit (kulttuurimuodot),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L916,pakkanen,,sääilmiöt,exactMatch,,http://www.yso.fi/onto/yso/p4318,pakkanen,sääilmiöt,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L917,pakolaiset,,,exactMatch,,http://www.yso.fi/onto/yso/p6458,pakolaiset,oikeudelliseen asemaan liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L919,paleltumat,,,exactMatch,,http://www.yso.fi/onto/yso/p11687,paleltumat,vammat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L802,paliskunnat,,,exactMatch,,http://www.yso.fi/onto/yso/p1204,paliskunnat,ihmisen määrittämät alueet; organisaatiot (järjestelmät),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L920,Palosalmen metsätyömieskoti,,metsätyömieskodit,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L921,palsasuot,,suot,exactMatch,,http://www.yso.fi/onto/yso/p26472,palsasuot,aapasuot,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L869,paluumuutto,,muuttoliike,exactMatch,,http://www.yso.fi/onto/yso/p6166,paluumuutto,muutto,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L502,parantajat,,,exactMatch,,http://www.yso.fi/onto/yso/p2089,parantajat,toimintaan liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L769,partisaanit,,,exactMatch,,http://www.yso.fi/onto/yso/p8177,partisaanit,toimintaan liittyvä rooli,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L881,paulat,,nauhat,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L925,peikot,,yliluonnolliset olennot,exactMatch,,http://www.yso.fi/onto/yso/p16101,peikot,yliluonnolliset olennot; taruolennot; satuolennot,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L504,pelimannimusiikki,,perinnemusiikki; kansanmusiikki,exactMatch,,http://www.yso.fi/onto/yso/p1590,pelimannimusiikki,perinnemusiikki,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L454,perhokalastus,,kalastus,exactMatch,,http://www.yso.fi/onto/yso/p2997,perhokalastus,vapakalastus,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L926,perhonsidonta,,,exactMatch,,http://www.yso.fi/onto/yso/p24983,perhonsidonta,valmistus,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L465,perhot,,kalastusvälineet,exactMatch,,http://www.yso.fi/onto/yso/p2999,perhot,vieheet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L927,periferiat,,,exactMatch,,http://www.yso.fi/onto/yso/p7143,periferiat,ihmisen määrittämät alueet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L497,perimätieto,,,exactMatch,,http://www.yso.fi/onto/yso/p3690,perimätieto,tieto,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L234,perinnemusiikki,etnomusiiikki,,exactMatch,,http://www.yso.fi/onto/yso/p1591,perinnemusiikki,musiikki,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L932,perinnetieteet,,,exactMatch,,http://www.yso.fi/onto/yso/p3877,perinnetieteet,ihmistieteet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L618,permiläiset kansat,,suomalais-ugrilaiset kansat,exactMatch,,http://www.yso.fi/onto/yso/p7640,permiläiset kansat,suomalais-ugrilaiset kansat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L1188,Permin Komi,,,exactMatch,,http://www.yso.fi/onto/yso/p109624,Permin Komi,Neuvostoliitto; Venäjä,P
