lc ,lpref ,
http://urn.fi/URN:NBN:fi:au:lapponica:L227 ,kansatiede ,álbmotdieđa
http://urn.fi/URN:NBN:fi:au:lapponica:L1181 ,Karanmeri ,Karanmearra
http://urn.fi/URN:NBN:fi:au:lapponica:L532 ,karhu ,guovža
http://urn.fi/URN:NBN:fi:au:lapponica:L181 ,karhukultti ,guovžakulta
http://urn.fi/URN:NBN:fi:au:lapponica:L398 ,karhut ,guovžžat
http://urn.fi/URN:NBN:fi:au:lapponica:L312 ,karibu ,karibu
http://urn.fi/URN:NBN:fi:au:lapponica:L534 ,karjalaiset ,gárjillaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L1185 ,Karjalan tasavalta ,Gárjila dásseváldi
http://urn.fi/URN:NBN:fi:au:lapponica:L536 ,karsikot ,muitomuorat
http://urn.fi/URN:NBN:fi:au:lapponica:L539 ,kartat ,kárttat
http://urn.fi/URN:NBN:fi:au:lapponica:L329 ,kasvihuoneilmiö ,šaddovisteiđa
http://urn.fi/URN:NBN:fi:au:lapponica:L543 ,kasvillisuus ,šattolašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L547 ,kasvimaantiede ,šaddogeografiija
http://urn.fi/URN:NBN:fi:au:lapponica:L548 ,kasvit ,šattut
http://urn.fi/URN:NBN:fi:au:lapponica:L509 ,katekeettalaitos ,katekehttavuogádat
http://urn.fi/URN:NBN:fi:au:lapponica:L552 ,katkaravut ,reahkat
http://urn.fi/URN:NBN:fi:au:lapponica:L553 ,kauppa ,gávpi
http://urn.fi/URN:NBN:fi:au:lapponica:L560 ,kauppatiet ,gávpejohtolagat
http://urn.fi/URN:NBN:fi:au:lapponica:L561 ,Kautokeinon kapina ,Guovdageainnu dáhpáhusat
http://urn.fi/URN:NBN:fi:au:lapponica:L564 ,kehdot ,geahtut
http://urn.fi/URN:NBN:fi:au:lapponica:L60 ,kehitysalueet ,ovddidanguovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L566 ,kehitysalueluotot ,ovddidanguovloloanat
http://urn.fi/URN:NBN:fi:au:lapponica:L567 ,Keivitsa ,Kevitsa
http://urn.fi/URN:NBN:fi:au:lapponica:L568 ,kelirikko ,siivvuhisvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L570 ,kelkkailu ,gielkkástallan
http://urn.fi/URN:NBN:fi:au:lapponica:L572 ,kelo ,soarvi
http://urn.fi/URN:NBN:fi:au:lapponica:L574 ,kelonveisto ,soarvefearrandáidu
http://urn.fi/URN:NBN:fi:au:lapponica:L575 ,kelopuut ,soarvemuorat
http://urn.fi/URN:NBN:fi:au:lapponica:L576 ,keminsaamelaiset ,giemasámit
http://urn.fi/URN:NBN:fi:au:lapponica:L350 ,kenkäheinät ,gámasuoinnit
http://urn.fi/URN:NBN:fi:au:lapponica:L577 ,keräily ,čoakkildeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L579 ,keräilykulttuurit ,čoakkildankultuvrrat
http://urn.fi/URN:NBN:fi:au:lapponica:L580 ,keräkurmitsa ,láfol
http://urn.fi/URN:NBN:fi:au:lapponica:L154 ,keskiyön aurinko ,gaskaija beaivváš
http://urn.fi/URN:NBN:fi:au:lapponica:L177 ,kestävä kehitys ,bistevaš ovdáneapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L581 ,kesämatkailu ,geasseturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L583 ,Kevitsa ,Kevitsa
http://urn.fi/URN:NBN:fi:au:lapponica:L219 ,kielelliset vähemmistöt ,gielalaš vehádagat
http://urn.fi/URN:NBN:fi:au:lapponica:L129 ,kielenvaihto ,giellamolsun
http://urn.fi/URN:NBN:fi:au:lapponica:L584 ,kielikysymys ,giellagažaldat
http://urn.fi/URN:NBN:fi:au:lapponica:L585 ,kielimaantiede ,giellageografiija
http://urn.fi/URN:NBN:fi:au:lapponica:L586 ,kielipesät ,giellabeasit
http://urn.fi/URN:NBN:fi:au:lapponica:L588 ,kielipolitiikka ,giellapolitihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L510 ,kiertokoulu ,gierdonskuvla
http://urn.fi/URN:NBN:fi:au:lapponica:L589 ,kiiruna ,giron
http://urn.fi/URN:NBN:fi:au:lapponica:L591 ,kildininsaame ,gielddasápmi
http://urn.fi/URN:NBN:fi:au:lapponica:L263 ,kiljuhanhi ,giljobaš
http://urn.fi/URN:NBN:fi:au:lapponica:L592 ,kirjallisuus : saamelaiset ,girjjálašvuohta : sámit
http://urn.fi/URN:NBN:fi:au:lapponica:L466 ,kirjolohi ,girjeluossa
http://urn.fi/URN:NBN:fi:au:lapponica:L283 ,kirjonta ,herven
http://urn.fi/URN:NBN:fi:au:lapponica:L593 ,kirkkotuvat ,girkostobut
http://urn.fi/URN:NBN:fi:au:lapponica:L594 ,Kirunavaara ,Gironvárri
http://urn.fi/URN:NBN:fi:au:lapponica:L595 ,kivikautiset kulttuurit ,geađgeáiggi kulttuvrrat
http://urn.fi/URN:NBN:fi:au:lapponica:L597 ,knihtikontrahdit ,knihttakontrávttat
http://urn.fi/URN:NBN:fi:au:lapponica:L139 ,kodat ,goađit
http://urn.fi/URN:NBN:fi:au:lapponica:L1186 ,Koillisväylä ,Nuortadavvimearrajohtolat
http://urn.fi/URN:NBN:fi:au:lapponica:L601 ,koira ,beana
http://urn.fi/URN:NBN:fi:au:lapponica:L609 ,koiravaljakot ,beanagessosat
http://urn.fi/URN:NBN:fi:au:lapponica:L610 ,koivu ,soahki
http://urn.fi/URN:NBN:fi:au:lapponica:L614 ,Kolosjoki ,Nihkkel
http://urn.fi/URN:NBN:fi:au:lapponica:L615 ,koltansaame ,nuortalašgiella
http://urn.fi/URN:NBN:fi:au:lapponica:L343 ,kolttasaamelaiset ,nuortalaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L149 ,kolttatilat ,nuortalašdálut
http://urn.fi/URN:NBN:fi:au:lapponica:L1187 ,Komi ,Komi
http://urn.fi/URN:NBN:fi:au:lapponica:L617 ,komin kieli ,komigiella
http://urn.fi/URN:NBN:fi:au:lapponica:L22 ,komipermjakit ,komipermjakat
http://urn.fi/URN:NBN:fi:au:lapponica:L23 ,komit ,komit
http://urn.fi/URN:NBN:fi:au:lapponica:L596 ,Komsan kulttuuri ,Komsa-kultuvra
http://urn.fi/URN:NBN:fi:au:lapponica:L565 ,komsiot ,gietkamat
http://urn.fi/URN:NBN:fi:au:lapponica:L619 ,konekaivu ,mašiidnaroggan
http://urn.fi/URN:NBN:fi:au:lapponica:L289 ,Korpela-liike ,Korpela-lihkadus
http://urn.fi/URN:NBN:fi:au:lapponica:L620 ,korppi ,gáranas
http://urn.fi/URN:NBN:fi:au:lapponica:L621 ,korukivet ,hearvageađggit
http://urn.fi/URN:NBN:fi:au:lapponica:L622 ,koskenlasku ,guoikaluoitin
http://urn.fi/URN:NBN:fi:au:lapponica:L624 ,koskikara ,guoikgáhrit
http://urn.fi/URN:NBN:fi:au:lapponica:L625 ,kotakäräjät ,goahtegearregat
http://urn.fi/URN:NBN:fi:au:lapponica:L627 ,kotiseutukokoelmat ,ruovttuguovločoakkádagat
http://urn.fi/URN:NBN:fi:au:lapponica:L628 ,kotiseutukuvaukset,ruovttuguovlogovvideamit
http://urn.fi/URN:NBN:fi:au:lapponica:L629 ,kotiseutututkimus ,ruovttuguovlodutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L630 ,kotiseututyö ,ruovttuguovlobargu
http://urn.fi/URN:NBN:fi:au:lapponica:L631 ,kotiseutuyhdistykset ,ruovttuguovloovttastusat
http://urn.fi/URN:NBN:fi:au:lapponica:L451 ,kotitarvekalastus ,ruovttudárbobivdu
http://urn.fi/URN:NBN:fi:au:lapponica:L632 ,kotkat ,goaskimat
http://urn.fi/URN:NBN:fi:au:lapponica:L635 ,kruununmetsätorpparit ,kruvnnameahccetoarpárat
http://urn.fi/URN:NBN:fi:au:lapponica:L637 ,kufittaret ,gufihttarat
http://urn.fi/URN:NBN:fi:au:lapponica:L638 ,kulkureitit ,johtolagat
http://urn.fi/URN:NBN:fi:au:lapponica:L640 ,kullanhuuhdonta ,golledoidin
http://urn.fi/URN:NBN:fi:au:lapponica:L641 ,kullankaivajat ,golleroggit
http://urn.fi/URN:NBN:fi:au:lapponica:L642 ,kullankaivu ,golleroggan
http://urn.fi/URN:NBN:fi:au:lapponica:L549 ,kullero ,boallorássi
http://urn.fi/URN:NBN:fi:au:lapponica:L643 ,kulta ,golli
http://urn.fi/URN:NBN:fi:au:lapponica:L182 ,kultit ,kulttat
http://urn.fi/URN:NBN:fi:au:lapponica:L322 ,kulttuuri-identiteetti ,kulturidentitehta
http://urn.fi/URN:NBN:fi:au:lapponica:L530 ,kulttuuriantropologia ,kulturantropologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L645 ,kulttuuriekologia ,kulturekologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L531 ,kulttuurihistoria ,kulturhistorjá
http://urn.fi/URN:NBN:fi:au:lapponica:L11 ,kulttuurikosketukset ,kulturguoskkahusat
http://urn.fi/URN:NBN:fi:au:lapponica:L647 ,kulttuurimaantiede ,kulturgeografiija
http://urn.fi/URN:NBN:fi:au:lapponica:L648 ,kulttuurimatkailu ,kulturturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L646 ,kulttuurivaikutukset ,kultuváikkuhusat
http://urn.fi/URN:NBN:fi:au:lapponica:L649 ,kulttuuriympäristö ,kulturbiras
http://urn.fi/URN:NBN:fi:au:lapponica:L1189 ,Kuolan niemimaa ,Guoládatnjárga
http://urn.fi/URN:NBN:fi:au:lapponica:L8 ,kuolansaame ,guoládatsápmi
http://urn.fi/URN:NBN:fi:au:lapponica:L344 ,kuolansaamelaiset ,guoládatsámit
http://urn.fi/URN:NBN:fi:au:lapponica:L651 ,kuolansaamelaiset ,guoládatsápmelaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L538 ,kuolema ,jápmin
http://urn.fi/URN:NBN:fi:au:lapponica:L653 ,kuukkeli ,guovssat
http://urn.fi/URN:NBN:fi:au:lapponica:L316 ,kuura ,bihci
http://urn.fi/URN:NBN:fi:au:lapponica:L654 ,kuusi ,guossa
http://urn.fi/URN:NBN:fi:au:lapponica:L403 ,kuvanveisto ,govvačuollandáidu
http://urn.fi/URN:NBN:fi:au:lapponica:L250 ,kvartäärigeologia ,kvartárageologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L656 ,kveenin kieli ,kvenagiella
http://urn.fi/URN:NBN:fi:au:lapponica:L419 ,kveenit ,kvenat
http://urn.fi/URN:NBN:fi:au:lapponica:L659 ,kylmyys ,galmmasvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L122 ,kylmän ilmanalan tutkimus ,galbma áimmu dutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L258 ,kylmänkestävyys ,galbmasagierdan
http://urn.fi/URN:NBN:fi:au:lapponica:L120 ,kylmätekniikka ,galbmateknihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L661 ,kylmään sopeutuminen ,galbmasii vuoigáduvvan
http://urn.fi/URN:NBN:fi:au:lapponica:L662 ,kylähistoriikit ,gillehistorihkat
http://urn.fi/URN:NBN:fi:au:lapponica:L664 ,kyläsuunnittelu ,gilleplánen
http://urn.fi/URN:NBN:fi:au:lapponica:L665 ,kylät ,gilit
http://urn.fi/URN:NBN:fi:au:lapponica:L666 ,kylätoiminta ,gilledoibma
http://urn.fi/URN:NBN:fi:au:lapponica:L667 ,kylätutkimus ,gilledutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L655 ,kynttiläkuusi ,ginttalguossa
http://urn.fi/URN:NBN:fi:au:lapponica:L668 ,kyytilaitos ,sáhtostanvuogádat
http://urn.fi/URN:NBN:fi:au:lapponica:L669 ,kämppäemännät ,gámpáeamidat
http://urn.fi/URN:NBN:fi:au:lapponica:L140 ,kämpät ,gámppát
http://urn.fi/URN:NBN:fi:au:lapponica:L671 ,käsiteollisuus ,giehtaduodjeindustriija
http://urn.fi/URN:NBN:fi:au:lapponica:L515 ,käsityöperinne ,giehtaduodjeárbi
http://urn.fi/URN:NBN:fi:au:lapponica:L382 ,käsityöt ,giehtaduojit
http://urn.fi/URN:NBN:fi:au:lapponica:L1161 ,Labrador ,Labrador
http://urn.fi/URN:NBN:fi:au:lapponica:L352 ,labyrintit ,labyrinttat
http://urn.fi/URN:NBN:fi:au:lapponica:L291 ,ladut ,láhtut
http://urn.fi/URN:NBN:fi:au:lapponica:L676 ,laivamatkailu ,dámpaturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L677 ,lakimetsät ,alášvuovddit
http://urn.fi/URN:NBN:fi:au:lapponica:L305 ,lakka ,
http://urn.fi/URN:NBN:fi:au:lapponica:L678 ,langat ,árpput
http://urn.fi/URN:NBN:fi:au:lapponica:L680 ,lapin kieli ,
http://urn.fi/URN:NBN:fi:au:lapponica:L681 ,Lapin sota ,Lappi soahti
http://urn.fi/URN:NBN:fi:au:lapponica:L682 ,lapinkirvinen ,sieđgacivkkán
http://urn.fi/URN:NBN:fi:au:lapponica:L602 ,lapinkoirat ,sámebeatnagat
http://urn.fi/URN:NBN:fi:au:lapponica:L683 ,lapinkylät (hist.) ,sámesiiddat (hist.)
http://urn.fi/URN:NBN:fi:au:lapponica:L686 ,lapinkäynti (hist.) ,sámejohtin (hist.)
http://urn.fi/URN:NBN:fi:au:lapponica:L690 ,lapinlehmä ,sámegussa
http://urn.fi/URN:NBN:fi:au:lapponica:L692 ,lapinmyyrä ,dábálaš sáhpán
http://urn.fi/URN:NBN:fi:au:lapponica:L603 ,lapinporokoira ,sámeboazobeana
http://urn.fi/URN:NBN:fi:au:lapponica:L520 ,lapinpuvut ,sámegávttit
http://urn.fi/URN:NBN:fi:au:lapponica:L694 ,lapinpöllö ,ránesskuolfi
http://urn.fi/URN:NBN:fi:au:lapponica:L695 ,lappalaiset ,lappalaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L696 ,lappalaiset (hist.) ,lappalaččat (hist.)
http://urn.fi/URN:NBN:fi:au:lapponica:L697 ,lappalaiskodisilli ,lappekodisilla
http://urn.fi/URN:NBN:fi:au:lapponica:L50 ,lappilaisuus ,lappilašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L700 ,lappologit (hist.) ,lappologat (hist.)
http://urn.fi/URN:NBN:fi:au:lapponica:L703 ,lapsikauppa ,mánnágávpi
http://urn.fi/URN:NBN:fi:au:lapponica:L1182 ,Laptevinmeri ,Laptevmearra
http://urn.fi/URN:NBN:fi:au:lapponica:L44 ,laskettelu ,čierastallan
http://urn.fi/URN:NBN:fi:au:lapponica:L375 ,laulujoutsen ,njukča
http://urn.fi/URN:NBN:fi:au:lapponica:L691 ,lehmät ,gusat
http://urn.fi/URN:NBN:fi:au:lapponica:L204 ,lestadiolaisuus ,lestadiolašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L359 ,leuddit ,leuddet
http://urn.fi/URN:NBN:fi:au:lapponica:L704 ,liikutukset ,lihkahusat
http://urn.fi/URN:NBN:fi:au:lapponica:L88 ,linnut ,lottit
http://urn.fi/URN:NBN:fi:au:lapponica:L720 ,lintuvuoret ,loddevárit
http://urn.fi/URN:NBN:fi:au:lapponica:L467 ,lohi ,luossa
http://urn.fi/URN:NBN:fi:au:lapponica:L273 ,lohikalat ,luossaguolit
http://urn.fi/URN:NBN:fi:au:lapponica:L464 ,lohipadot ,luossabuođut
http://urn.fi/URN:NBN:fi:au:lapponica:L721 ,Lokka ,Lokka (P)
http://urn.fi/URN:NBN:fi:au:lapponica:L722 ,luistelu ,luisten
http://urn.fi/URN:NBN:fi:au:lapponica:L404 ,lumenveisto ,muohtačuollandáidu
http://urn.fi/URN:NBN:fi:au:lapponica:L317 ,lumi ,muohta
http://urn.fi/URN:NBN:fi:au:lapponica:L347 ,lumikengät ,muohtagápmagat
http://urn.fi/URN:NBN:fi:au:lapponica:L724 ,lumilautailu ,muohtafiellostallan
http://urn.fi/URN:NBN:fi:au:lapponica:L725 ,lumilinnat ,muohtalatnit
http://urn.fi/URN:NBN:fi:au:lapponica:L726 ,lumimajat ,muohtavisožat
http://urn.fi/URN:NBN:fi:au:lapponica:L727 ,lumipeite ,muohtagovččas
http://urn.fi/URN:NBN:fi:au:lapponica:L728 ,lumipeite : puut ,muohtagovččas : muorat
http://urn.fi/URN:NBN:fi:au:lapponica:L730 ,lumirakentaminen ,muohtahuksen
http://urn.fi/URN:NBN:fi:au:lapponica:L732 ,lumivyöryt ,uđđasat
http://urn.fi/URN:NBN:fi:au:lapponica:L733 ,luonnonmaantiede ,luonddugeografiija
http://urn.fi/URN:NBN:fi:au:lapponica:L304 ,luonnonmarjat ,luonddumuorjjit
http://urn.fi/URN:NBN:fi:au:lapponica:L736 ,luonnonmetsät ,luondduvuovddit
http://urn.fi/URN:NBN:fi:au:lapponica:L737 ,luonnonmukainen metsänhoito ,ekologalaš vuovdedikšun
http://urn.fi/URN:NBN:fi:au:lapponica:L183 ,luonnonpalvonta ,luonddubálvaleapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L500 ,luonnonparannus ,luonddudálkun
http://urn.fi/URN:NBN:fi:au:lapponica:L491 ,luonnonpuistot ,luonddumeahcit
http://urn.fi/URN:NBN:fi:au:lapponica:L739 ,luonnonsuojelu ,luonddusuodjaleapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L490 ,luonnonsuojelualueet ,luonddusuodjalanguovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L742 ,luonnonvarat ,luondduriggodagat
http://urn.fi/URN:NBN:fi:au:lapponica:L743 ,luontaiselinkeinot ,luondduealáhusat
http://urn.fi/URN:NBN:fi:au:lapponica:L616 ,luontaiselinkeinotilat ,luondduealáhusdálut
http://urn.fi/URN:NBN:fi:au:lapponica:L744 ,luontoistalous ,luonddudoallu
http://urn.fi/URN:NBN:fi:au:lapponica:L745 ,luontokeskukset ,luondduguovddážat
http://urn.fi/URN:NBN:fi:au:lapponica:L178 ,luontomatkailu ,luondduturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L746 ,luontonimet ,luonddunamat
http://urn.fi/URN:NBN:fi:au:lapponica:L748 ,luontopolut ,luonddubálgát
http://urn.fi/URN:NBN:fi:au:lapponica:L751 ,Luossavaara ,Luossavárri (S)
http://urn.fi/URN:NBN:fi:au:lapponica:L752 ,luostarit ,kloastarat
http://urn.fi/URN:NBN:fi:au:lapponica:L1191 ,Luoteisväylä ,Oarjedavvimearrajohtolat
http://urn.fi/URN:NBN:fi:au:lapponica:L755 ,luotot ,loanat
http://urn.fi/URN:NBN:fi:au:lapponica:L756 ,luulajansaame ,julevsápmi
http://urn.fi/URN:NBN:fi:au:lapponica:L757 ,luulajansaamelaiset ,julevsámit
http://urn.fi/URN:NBN:fi:au:lapponica:L672 ,luutyöt ,dákteduojit
http://urn.fi/URN:NBN:fi:au:lapponica:L758 ,lähetystyö ,vuolggahusbargu
http://urn.fi/URN:NBN:fi:au:lapponica:L759 ,lähialueet ,lagasguovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L760 ,lähialueyhteistyö ,lagasguovloovttasbargu
http://urn.fi/URN:NBN:fi:au:lapponica:L761 ,läskikapina ,spiinnebuoidestuibmi
http://urn.fi/URN:NBN:fi:au:lapponica:L501 ,lääkekasvit ,dálkkasšattut
http://urn.fi/URN:NBN:fi:au:lapponica:L118 ,lääketiede ,dálkkasdieđa
http://urn.fi/URN:NBN:fi:au:lapponica:L64 ,lääninhallinto ,leanahálddahus
http://urn.fi/URN:NBN:fi:au:lapponica:L78 ,lääninsuunnittelu ,leanaplánen
http://urn.fi/URN:NBN:fi:au:lapponica:L763 ,läänintaiteilijat ,leanadáiddárat
http://urn.fi/URN:NBN:fi:au:lapponica:L61 ,läänit ,leanat
http://urn.fi/URN:NBN:fi:au:lapponica:L261 ,maahiset ,ulddat
http://urn.fi/URN:NBN:fi:au:lapponica:L505 ,maailmanmusiikki ,máilmmimusihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L415 ,maakaasu ,eanagássa
http://urn.fi/URN:NBN:fi:au:lapponica:L633 ,maakotka ,goaskin
http://urn.fi/URN:NBN:fi:au:lapponica:L764 ,maakunnan liitot ,eanagottilihtut
http://urn.fi/URN:NBN:fi:au:lapponica:L62 ,maakunnat ,eanagottit
http://urn.fi/URN:NBN:fi:au:lapponica:L765 ,maakuntaeläimet ,eanagoddeeallit
http://urn.fi/URN:NBN:fi:au:lapponica:L65 ,maakuntahallinto ,eanagottihálddahus
http://urn.fi/URN:NBN:fi:au:lapponica:L340 ,maakuntaitsehallinto ,eanagoddeiešstivrejupmi
http://urn.fi/URN:NBN:fi:au:lapponica:L550 ,maakuntakasvit ,eanagoddešattut
http://urn.fi/URN:NBN:fi:au:lapponica:L70 ,maakuntakirjastot ,eanagoddegirjerájut
http://urn.fi/URN:NBN:fi:au:lapponica:L71 ,maakuntakokoelmat ,eanagoddečoakkáldagat
http://urn.fi/URN:NBN:fi:au:lapponica:L766 ,maakuntamuseot ,eanagoddemuseat
http://urn.fi/URN:NBN:fi:au:lapponica:L767 ,maanalainen toiminta ,suollemasdoaibma
http://urn.fi/URN:NBN:fi:au:lapponica:L338 ,maanjako ,eanajuohku
http://urn.fi/URN:NBN:fi:au:lapponica:L771 ,maankäyttö ,eanageavaheapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L598 ,maanomistus ,eanaoamastus
http://urn.fi/URN:NBN:fi:au:lapponica:L773 ,maaoikeus ,eanariekti
http://urn.fi/URN:NBN:fi:au:lapponica:L774 ,maastoajoneuvot ,meahccefievrrut
http://urn.fi/URN:NBN:fi:au:lapponica:L777 ,maastohiihto ,meahccečuoigan
http://urn.fi/URN:NBN:fi:au:lapponica:L540 ,maastokartat ,eanadatkárttat
http://urn.fi/URN:NBN:fi:au:lapponica:L778 ,maastoliikenne ,meahccejohtalus
http://urn.fi/URN:NBN:fi:au:lapponica:L779 ,maatilamatkailu ,eanadálloturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L528 ,magia ,magiija
http://urn.fi/URN:NBN:fi:au:lapponica:L554 ,majamieslaitos ,orohatfállanvuogádat
http://urn.fi/URN:NBN:fi:au:lapponica:L782 ,makuupussit ,oađđinseahkat
http://urn.fi/URN:NBN:fi:au:lapponica:L784 ,malmiesiintymät ,málbmagávdnosat
http://urn.fi/URN:NBN:fi:au:lapponica:L785 ,malminetsintä ,málbmaohcan
http://urn.fi/URN:NBN:fi:au:lapponica:L786 ,malmit ,málmmat
http://urn.fi/URN:NBN:fi:au:lapponica:L787 ,malmivarat ,málbmariggodagat
http://urn.fi/URN:NBN:fi:au:lapponica:L788 ,mannerjalusta ,nannánjuolgi
http://urn.fi/URN:NBN:fi:au:lapponica:L396 ,mannerjää ,nannánjiekŋa
http://urn.fi/URN:NBN:fi:au:lapponica:L789 ,mansin kieli ,mansigiella
http://urn.fi/URN:NBN:fi:au:lapponica:L24 ,mansit ,mansit
http://urn.fi/URN:NBN:fi:au:lapponica:L790 ,marjanpoiminta ,murjen
http://urn.fi/URN:NBN:fi:au:lapponica:L303 ,marjat ,muorjjit
http://urn.fi/URN:NBN:fi:au:lapponica:L559 ,markkinat ,márkanat
http://urn.fi/URN:NBN:fi:au:lapponica:L791 ,matkailijat ,turisttat
http://urn.fi/URN:NBN:fi:au:lapponica:L176 ,matkailu ,turisma
http://urn.fi/URN:NBN:fi:au:lapponica:L792 ,matkailualueet ,turismaguovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L541 ,matkailukartat ,turismakárttat
http://urn.fi/URN:NBN:fi:au:lapponica:L295 ,matkailukeskukset ,turismaguovddážat
http://urn.fi/URN:NBN:fi:au:lapponica:L793 ,matkailukohteet ,turismačuozáhagat
http://urn.fi/URN:NBN:fi:au:lapponica:L794 ,matkailureitit ,turismajohtolagat
http://urn.fi/URN:NBN:fi:au:lapponica:L795 ,matkakertomukset ,mátkemuitalusat
http://urn.fi/URN:NBN:fi:au:lapponica:L796 ,matkamuistot ,mátkemuittut
http://urn.fi/URN:NBN:fi:au:lapponica:L797 ,matkaoppaat ,mátkeoahpistangirjjit
http://urn.fi/URN:NBN:fi:au:lapponica:L798 ,melontaretkeily ,meallunvánddardeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L452 ,merikalastus ,mearrabivdu
http://urn.fi/URN:NBN:fi:au:lapponica:L634 ,merikotka ,mearragoaskin
http://urn.fi/URN:NBN:fi:au:lapponica:L449 ,merisaamelaiset ,mearrasámit
http://urn.fi/URN:NBN:fi:au:lapponica:L799 ,merkkikapulat ,
http://urn.fi/URN:NBN:fi:au:lapponica:L801 ,merkkipiirit ,mearkabiret
http://urn.fi/URN:NBN:fi:au:lapponica:L804 ,merkkitulet ,
http://urn.fi/URN:NBN:fi:au:lapponica:L806 ,meteorologia ,meteorologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L807 ,metsien moninaiskäyttö ,vuvddiid lotnolasatnu
http://urn.fi/URN:NBN:fi:au:lapponica:L808 ,metsurit ,
http://urn.fi/URN:NBN:fi:au:lapponica:L809 ,metsäekologia ,vuovdeekologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L810 ,metsähallinto ,vuovdehálddahus
http://urn.fi/URN:NBN:fi:au:lapponica:L264 ,metsähanhi ,čuonja
http://urn.fi/URN:NBN:fi:au:lapponica:L768 ,metsäkaartilaiset ,meahccegardisttat
http://urn.fi/URN:NBN:fi:au:lapponica:L712 ,metsäkanat ,eanalottit
http://urn.fi/URN:NBN:fi:au:lapponica:L544 ,metsäkasvillisuus ,vuovdešattolašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L812 ,metsäkoneet ,vuovdemašiinnat
http://urn.fi/URN:NBN:fi:au:lapponica:L816 ,metsäkuolemat ,vuovdejápmimat
http://urn.fi/URN:NBN:fi:au:lapponica:L817 ,metsäkämpät ,meahccegámppát
http://urn.fi/URN:NBN:fi:au:lapponica:L818 ,metsänarviointi ,vuovdeárvvoštallan
http://urn.fi/URN:NBN:fi:au:lapponica:L819 ,metsänhakkuut ,vuovddečuohppamat
http://urn.fi/URN:NBN:fi:au:lapponica:L738 ,metsänhoito ,vuovdedikšun
http://urn.fi/URN:NBN:fi:au:lapponica:L822 ,metsänjalostus ,vuovdeovddosdikšun
http://urn.fi/URN:NBN:fi:au:lapponica:L823 ,metsänomistus ,vuovdeoamastus
http://urn.fi/URN:NBN:fi:au:lapponica:L824 ,metsänparannus ,vuovdebuorideapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L825 ,metsänraja ,vuovdeorda
http://urn.fi/URN:NBN:fi:au:lapponica:L826 ,metsäntutkimus ,vuovdedutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L827 ,metsänuudistus ,vuovdeođasmahttin
http://urn.fi/URN:NBN:fi:au:lapponica:L828 ,metsänviljely ,vuovdešaddadeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L829 ,metsäpalot ,maehccebuollimat
http://urn.fi/URN:NBN:fi:au:lapponica:L830 ,metsäpeura ,vuovdegoddi
http://urn.fi/URN:NBN:fi:au:lapponica:L831 ,metsäpolitiikka ,vuovdepolitihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L832 ,metsäsaamelaiset ,vuovdesámit
http://urn.fi/URN:NBN:fi:au:lapponica:L93 ,metsästys ,meahccebivdu
http://urn.fi/URN:NBN:fi:au:lapponica:L836 ,metsästysoikeus ,meahccebivdovuoigatvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L837 ,metsästäjät ,meahccebivdit
http://urn.fi/URN:NBN:fi:au:lapponica:L838 ,metsäsuunnittelu ,vuovdeplánen
