"lang","code","iso6391code"
"http://lexvo.org/id/iso639-3/kau","kau","kr"
"http://lexvo.org/id/iso639-3/kaw","kaw",
"http://lexvo.org/id/iso639-3/kaz","kaz","kk"
"http://lexvo.org/id/iso639-3/kir","kir","ky"
"http://lexvo.org/id/iso639-3/kon","kon","kg"
"http://lexvo.org/id/iso639-3/kha","kha",
"http://lexvo.org/id/iso639-5/khi","khi",
"http://lexvo.org/id/iso639-3/kho","kho",
"http://lexvo.org/id/iso639-3/kik","kik","ki"
"http://lexvo.org/id/iso639-3/lub","lub","lu"
"http://lexvo.org/id/iso639-3/kin","kin","rw"
"http://lexvo.org/id/iso639-3/kua","kua","kj"
"http://lexvo.org/id/iso639-3/kmb","kmb",
"http://lexvo.org/id/iso639-3/kok","kok",
"http://lexvo.org/id/iso639-3/kos","kos",
"http://lexvo.org/id/iso639-3/kpe","kpe",
"http://lexvo.org/id/iso639-3/pam","pam",
"http://lexvo.org/id/iso639-3/sna","sna","sn"
"http://lexvo.org/id/iso639-5/kro","kro",
"http://lexvo.org/id/iso639-3/kru","kru",
"http://lexvo.org/id/iso639-3/kum","kum",
"http://lexvo.org/id/iso639-3/kut","kut",
"http://lexvo.org/id/iso639-3/lad","lad",
"http://lexvo.org/id/iso639-3/lah","lah",
"http://lexvo.org/id/iso639-3/lam","lam",
"http://lexvo.org/id/iso639-3/lao","lao","lo"
"http://lexvo.org/id/iso639-3/ltz","ltz","lb"
"http://lexvo.org/id/iso639-3/lun","lun",
"http://lexvo.org/id/iso639-3/lez","lez",
"http://lexvo.org/id/iso639-3/nds","nds",
"http://lexvo.org/id/iso639-3/lim","lim","li"
"http://lexvo.org/id/iso639-3/lin","lin","ln"
"http://lexvo.org/id/iso639-3/lol","lol",
"http://lexvo.org/id/iso639-3/loz","loz",
"http://lexvo.org/id/iso639-3/lui","lui",
"http://lexvo.org/id/iso639-3/luo","luo",
"http://lexvo.org/id/iso639-3/lus","lus",
"http://lexvo.org/id/iso639-3/mas","mas",
"http://lexvo.org/id/iso639-3/mad","mad",
